;CO_CURSO;DS_TURNO_ALUNO;DS_COR_RAÇA_ALUNO;IN_SEXO_ALUNO;NU_ANO_ALUNO_NASC;NU_MES_ALUNO_NASC;NU_DIA_ALUNO_NASC;CO_NACIONALIDADE_ALUNO;IN_DEF_AUDITIVA;IN_DEF_FISICA;IN_DEF_SUPERDOTACAO;DS_ALUNO_SITUACAO;IN_RESERVA_VAGAS;IN_RESERVA_ETNICO;IN_RESERVA_DEFICIENCIA;IN_RESERVA_ENSINO_PUBLICO;IN_RESERVA_RENDA_FAMILIAR;IN_FINANC_ESTUDANTIL;IN_APOIO_SOCIAL;CO_TIPO_ESCOLA_ENS_MEDIO;ANO_INGRESSO
180;12317;Matutino;;1;1987;2;26;1;;;;Cursando;0;;;;;;0;0;2016
181;12317;Noturno;;0;1981;10;14;1;;;;Matrícula trancada;0;;;;;;0;0;2014
182;12317;Noturno;;0;1978;1;30;1;;;;Matrícula trancada;0;;;;;;0;0;2011
183;12317;Noturno;;0;1989;5;4;1;;;;Matrícula trancada;1;0.0;0.0;1.0;1.0;;0;1;2014
184;12317;Noturno;;0;1990;1;22;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2015
185;12317;Noturno;;0;1989;9;5;1;;;;Formado;0;;;;;;0;0;2011
186;12317;Noturno;;0;1973;8;24;1;;;;Cursando;0;;;;;;0;0;2010
187;12317;Noturno;;0;1962;3;27;1;;;;Cursando;0;;;;;;0;0;2010
188;12317;Noturno;;0;1978;3;14;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
189;12317;Noturno;;1;1990;5;26;1;;;;Cursando;0;;;;;;0;0;2013
190;12317;Noturno;;0;1982;5;3;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2014
191;12317;Noturno;;0;1984;11;7;1;;;;Cursando;0;;;;;;0;0;2013
192;12317;Matutino;;0;1992;7;10;1;;;;Cursando;0;;;;;;0;0;2012
193;12317;Matutino;;1;1991;8;9;1;;;;Matrícula trancada;0;;;;;;0;0;2011
194;12317;Noturno;;1;1988;9;6;1;;;;Cursando;0;;;;;;0;0;2015
195;12317;Noturno;;0;1972;5;19;1;;;;Cursando;0;;;;;;0;0;2016
196;12317;Noturno;;0;1979;6;15;1;;;;Formado;0;;;;;;0;0;2011
197;12317;Noturno;;0;1965;8;23;1;;;;Cursando;0;;;;;;0;0;2015
198;12317;Noturno;;0;1987;6;23;1;;;;Cursando;0;;;;;;0;0;2015
199;12317;Matutino;;0;1985;2;15;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2016
200;12317;Matutino;;1;1992;10;9;1;;;;Cursando;0;;;;;;0;0;2013
201;12317;Noturno;;0;1991;6;9;1;;;;Formado;0;;;;;;0;0;2011
202;12317;Noturno;;0;1991;11;30;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2015
203;12317;Matutino;;0;1993;5;17;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;1;1;2016
204;12317;Noturno;;1;1992;6;10;1;;;;Cursando;0;;;;;;0;0;2014
205;12317;Noturno;;0;1985;6;24;1;;;;Matrícula trancada;1;1.0;0.0;1.0;1.0;;0;1;2015
206;12317;Noturno;;1;1991;10;9;1;;;;Formado;0;;;;;;0;0;2011
207;12317;Matutino;;0;1974;12;8;1;;;;Desvinculado do curso;1;1.0;0.0;1.0;1.0;;0;1;2014
208;12317;Matutino;;1;1992;10;3;1;;;;Formado;0;;;;;;0;0;2013
209;12317;Matutino;;1;1990;5;30;1;;;;Desvinculado do curso;0;;;;;;0;0;2011
210;12317;Noturno;;0;1992;4;8;1;;;;Cursando;1;0.0;0.0;1.0;0.0;;0;1;2016
211;12317;Noturno;;0;1993;2;12;1;;;;Cursando;0;;;;;;0;0;2014
212;12317;Noturno;;1;1992;8;5;1;;;;Formado;0;;;;;;0;0;2012
213;12317;Noturno;;0;1974;9;3;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2016
214;12317;Noturno;;0;1991;9;10;1;;;;Cursando;0;;;;;;0;0;2015
215;12317;Noturno;;0;1993;8;25;1;;;;Cursando;0;;;;;;0;0;2015
216;12317;Noturno;;0;1969;7;14;1;;;;Cursando;0;;;;;;0;0;2014
217;12317;Noturno;;1;1985;5;31;1;;;;Cursando;0;;;;;;0;0;2013
218;12317;Noturno;;0;1990;5;28;1;;;;Cursando;0;;;;;;0;0;2016
219;12317;Matutino;;1;1991;11;4;1;;;;Formado;0;;;;;;0;0;2014
220;12317;Noturno;;0;1986;1;4;1;;;;Formado;0;;;;;;0;0;2011
221;12317;Noturno;;1;1981;8;27;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;0;1;2014
222;12317;Noturno;;0;1992;5;14;1;;;;Formado;0;;;;;;0;0;2011
223;12317;Noturno;;1;1992;8;1;1;;;;Formado;0;;;;;;0;0;2011
224;12317;Matutino;;1;1992;9;17;1;;;;Cursando;0;;;;;;0;0;2012
225;12317;Matutino;;1;1991;8;15;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;1;1;2016
226;12317;Matutino;;0;1991;2;15;1;;;;Formado;0;;;;;;0;0;2013
227;12317;Noturno;;0;1993;7;3;1;;;;Cursando;0;;;;;;1;0;2012
228;12317;Noturno;;0;1984;12;17;1;;;;Cursando;0;;;;;;0;0;2016
229;12317;Noturno;;0;1992;4;17;1;;;;Desvinculado do curso;1;0.0;0.0;1.0;1.0;;0;1;2015
230;12317;Matutino;;0;1992;12;28;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2014
231;12317;Noturno;;0;1991;11;24;1;;;;Cursando;1;0.0;0.0;1.0;1.0;;1;1;2016
232;12317;Noturno;;0;1985;11;16;1;;;;Cursando;1;1.0;0.0;1.0;1.0;;0;1;2015
233;12317;Noturno;;0;1981;9;28;1;;;;Cursando;0;;;;;;0;0;2011
234;12317;Noturno;;0;1985;3;1;1;;;;Cursando;0;;;;;;0;0;2016
235;12317;Matutino;;1;1986;5;15;1;;;;Cursando;0;;;;;;0;0;2014
236;12317;Noturno;;0;1988;8;15;1;;;;Cursando;0;;;;;;0;0;2006
237;12317;Matutino;;0;1992;9;1;1;;;;Cursando;0;;;;;;0;0;2016
238;12317;Noturno;;0;1991;10;3;1;;;;Cursando;0;;;;;;0;0;2015
239;12317;Noturno;;0;1986;8;4;1;;;;Cursando;0;;;;;;0;0;2014
240;12317;Noturno;;0;1991;3;7;1;;;;Cursando;0;;;;;;0;0;2012
241;12317;Noturno;;0;1983;5;23;1;;;;Cursando;0;;;;;;0;0;2006
242;12317;Noturno;;0;1983;4;8;1;;;;Formado;0;;;;;;0;0;2006
243;12317;Matutino;;0;1989;1;23;3;;;;Formado;0;;;;;;0;0;2011
244;12317;Matutino;;1;1992;2;5;1;;;;Cursando;0;;;;;;0;0;2016
245;12317;Noturno;;0;1992;6;1;1;;;;Cursando;0;;;;;;0;0;2014
246;12317;Noturno;;1;1991;8;21;1;;;;Formado;0;;;;;;0;0;2012
247;12317;Matutino;;0;1969;9;27;1;;;;Cursando;1;1.0;0.0;1.0;0.0;;0;1;2014
248;12317;Noturno;;0;1984;2;27;1;;;;Cursando;0;;;;;;0;0;2013
249;12317;Noturno;;0;1989;6;27;1;;;;Cursando;0;;;;;;0;0;2013
250;12317;Matutino;;1;1991;8;5;1;;;;Cursando;0;;;;;;0;0;2016
251;12317;Matutino;;0;1993;5;12;1;;;;Cursando;0;;;;;;0;0;2014
252;12317;Noturno;;1;1992;4;6;1;;;;Formado;0;;;;;;0;0;2010
253;12317;Matutino;;1;1991;4;3;1;;;;Cursando;0;;;;;;0;0;2010
254;12317;Matutino;;0;1991;6;27;1;;;;Cursando;0;;;;;;0;0;2010
255;12317;Matutino;;0;1991;8;23;1;;;;Matrícula trancada;0;;;;;;0;0;2010
256;12317;Noturno;;0;1986;10;16;1;;;;Matrícula trancada;0;;;;;;0;0;2010
257;12317;Noturno;;1;1991;5;10;1;;;;Desvinculado do curso;0;;;;;;0;0;2010
258;12317;Matutino;;0;1987;6;24;1;;;;Matrícula trancada;0;;;;;;0;0;2010
259;12317;Noturno;;0;1985;6;13;1;;;;Cursando;0;;;;;;0;0;2010
260;12317;Matutino;;0;1991;11;29;1;;;;Cursando;0;;;;;;0;0;2010
